nameUi
Ada Lovelace
Alan Turing
Albert Einstein
Alexander Fleming
Amelia Earhart
Aristotle
Archimedes
Benjamin Franklin
Carl Gauss
Charles Darwin
Charles Dickens
Clara Barton
Claude Monet
Dante Alighieri
Dmitri Mendeleev
Emily Dickinson
Ernest Hemingway
Florence Nightingale
Galileo Galilei
George Washington
Grace Hopper
Gregor Mendel
Harriet Tubman
Helen Keller
Hypatia
Isaac Newton
James Clerk Maxwell
Jane Austen
Johannes Kepler
Leonardo da Vinci
Louis Pasteur
Marie Curie
Mark Twain
Mary Shelley
Michael Faraday
Michelangelo
Nikola Tesla
Pablo Picasso
Rachel Carson
Rene Descartes
Robert Boyle
Rosalind Franklin
Socrates
Thomas Edison
Virginia Woolf
William Shakespeare
Wolfgang Mozart
Ludwig Beethoven
Johann Bach
Pyotr Tchaikovsky
Franz Schubert
Johann Goethe
Victor Hugo
Alexandre Dumas
Jules Verne
Leo Tolstoy
Fyodor Dostoevsky
Anton Chekhov
Miguel Cervantes
Federico Garcia Lorca
Frida Kahlo
Diego Rivera
Gabriel Garcia Marquez
Pablo Neruda
Simone de Beauvoir
Hannah Arendt
Rosa Parks
Martin Luther King Jr
Nelson Mandela
Wangari Maathai
Kofi Annan
Chinua Achebe
W E B Du Bois
Cesar Chavez
Simon Bolivar
Jose de San Martin
Toussaint Louverture
Mahatma Gandhi
Rabindranath Tagore
Srinivasa Ramanujan
Jagadish Bose
Ibn Sina
Al Khwarizmi
Omar Khayyam
Jalaluddin Rumi
Maimonides
Confucius
Laozi
Sun Tzu
Murasaki Shikibu
Katsushika Hokusai
Yukichi Fukuzawa
Sakamoto Ryoma
Sojourner Truth
Susan B Anthony
Elizabeth Cady Stanton
Emmeline Pankhurst
Mary Wollstonecraft
Maria Montessori
Cecilia Payne
Henrietta Leavitt
Annie Jump Cannon
Katherine Johnson
Dorothy Vaughan
Mary Jackson
Chien Shiung Wu
Lise Meitner
Emmy Noether
Sofia Kovalevskaya
Niels Bohr
Erwin Schrodinger
Max Planck
Enrico Fermi
Richard Feynman
Charlie Chaplin
Audrey Hepburn
Marilyn Monroe
Elvis Presley
Freddie Mercury
Michael Jackson
Bruce Lee
Muhammad Ali
Pele
Ayrton Senna
Diego Maradona
Jackie Robinson
Babe Ruth
Jesse Owens
Jim Thorpe
Roald Amundsen
Ernest Shackleton
Ferdinand Magellan
Ibn Battuta
Zheng He
Tran Hung Dao
Le Loi
Nguyen Trai
Quang Trung
Ho Xuan Huong
Phan Boi Chau
Phan Chau Trinh
