name,occurrence,tonnageMax
bb_7_bismarck,0,400000
bb_6_bismarck,0,378000
bb_6_iowa,0,392400
bb_6,0,400000
bb_7_soyuz,0,400000
bb_7_austria,0,365400
bb_7_russia,0,356400
bb_6_france,0,342000
bb_7_kgeorge,0,333000
bb_7_littorio,0,333000
bb_7_spain,0,315000
bb_6_richelieu,0,306000
bb_7_china,0,297000
bb_8_china,0,282600
bb_6_kgeorge,0,271800
bb_6_soyuz,0,298800
bb_6_russia,0,284400
bb_5,0,345600
bb_5_old,0,324000
bb_5_japan,0,259200
bb_5_iowa,0,309600
bb_5_iowa_small,0,207000
bb_usa_north_carolina_large,0,189000
bb_6_littorio,0,261000
bb_6_italy,0,253800
bb_6_spain,0,257400
bb_6_china,0,217800
bb_6_china_exp,0,198000
bb_6_austria,0,291600
bb_5_bismarck,0,297000
bb_5_mission_test,0,345600
bb_5_mission,0,345600
bb_5_mission,1,345600
bb_5_iowa_mission,0,309600
bb_5_bismarck_mission,0,297000
bb_6_littorio_mission,0,261000
bb_5_richelieu_mission,0,234000
bb_6_soyuz_mission,0,298800
bb_5_exp_france,0,243000
bb_5_richelieu,0,234000
bb_5_kgeorge,0,217800
bb_5_bismarck_small,0,196200
bb_5_kgeorge_mission,0,217800
bb_5_italy,0,234000
bb_5_france,0,216000
bb_5_russia,0,248400
bb_7_china_exp,0,154800
bb_5_mod_france,0,194400
bb_5_austria,0,325800
bb_5_austria_alt,0,217800
bb_5_china,0,313200
bb_modernized_sideguns,0,124200
bb_4_britain,0,219600
bb_5_assault_austria,0,163800
bb_5_assault,0,214200
bb_4_britain_nelson,0,142200
bb_4_japan_wide,0,250200
bb_4_japan_3,0,248400
bb_4_japan_2,0,241200
bb_4_japan,0,234000
bb_4_generic,0,230400
bb_4_generic_alt,0,158400
bb_modernized_sideguns_var,0,125640
bb_4_russia,0,162000
bb_2_usa_newyork_wide,0,178200
bb_4_usa_modernized,0,167400
bb_2_usa_newyork_base,0,117000
bb_3_britain_modernized,0,151200
bb_5_austrian_pocket,0,140400
bb_5_generic_small,0,115200
bb_4_russia_small,0,126000
bb_5_cesare,0,104400
bb_4_german,0,219600
bb_4_france,0,216000
bb_4,0,223200
bb_3_german,0,205200
bb_4_italy,0,201600
bb_3_britain,0,183600
bb_3_japan,0,165600
bb_3_britain_elizabeth,0,162000
bb_2_britain,0,142200
bb_3,0,158400
bb_3_usa_var,0,178200
bb_2_usa,0,169200
bb_2_britain_france,0,142200
bb_2_japan,0,133200
bb_2_russia,0,133200
bb_2_russia_gangut,0,129600
bb_2_Italy,0,126000
bb_2,0,129600
bb_1_russia_alt,0,109800
bb_2_britain_alt3,0,127800
bb_2_britain_alt4,0,113400
bb_2_britain_alt2,0,117000
bb_3_france,0,129600
bb_2_german,0,122400
bb_2_britain_alt,0,106200
bb_1_italy,0,108000
bb_2_france,0,100800
bb_2_usa_newyork_var,0,160200
bb_2_usa_arizona_var,0,153000
bb_2_usa_newyork_base_var,0,142200
bb_2_usa_arizona,0,127800
bb_2_usa_newyork_var2,0,120600
bb_2_usa_texas_base,0,102600
