name,occurrence,tonnageMax
bb_7_bismarck,0,130000
bb_6_bismarck,0,105000
bb_6_iowa,0,109000
bb_6,0,125000
bb_7_soyuz,0,123000
bb_7_austria,0,101500
bb_7_russia,0,99000
bb_6_france,0,95000
bb_7_kgeorge,0,92500
bb_7_littorio,0,92500
bb_7_spain,0,87500
bb_6_richelieu,0,85000
bb_7_china,0,82500
bb_8_china,0,78500
bb_6_kgeorge,0,75500
bb_6_soyuz,0,83000
bb_6_russia,0,79000
bb_5,0,96000
bb_5_old,0,90000
bb_5_japan,0,72000
bb_5_iowa,0,86000
bb_5_iowa_small,0,57500
bb_usa_north_carolina_large,0,52500
bb_6_littorio,0,72500
bb_6_italy,0,70500
bb_6_spain,0,71500
bb_6_china,0,60500
bb_6_china_exp,0,55000
bb_6_austria,0,81000
bb_5_bismarck,0,82500
bb_5_mission_test,0,96000
bb_5_mission,0,96000
bb_5_mission,1,96000
bb_5_iowa_mission,0,86000
bb_5_bismarck_mission,0,82500
bb_6_littorio_mission,0,72500
bb_5_richelieu_mission,0,65000
bb_6_soyuz_mission,0,83000
bb_5_exp_france,0,67500
bb_5_richelieu,0,65000
bb_5_kgeorge,0,60500
bb_5_bismarck_small,0,54500
bb_5_kgeorge_mission,0,60500
bb_5_italy,0,65000
bb_5_france,0,60000
bb_5_russia,0,69000
bb_7_china_exp,0,43000
bb_5_mod_france,0,54000
bb_5_austria,0,90500
bb_5_austria_alt,0,60500
bb_5_china,0,87000
bb_modernized_sideguns,0,34500
bb_4_britain,0,61000
bb_5_assault_austria,0,45500
bb_5_assault,0,59500
bb_4_britain_nelson,0,39500
bb_4_japan_wide,0,69500
bb_4_japan_3,0,69000
bb_4_japan_2,0,67000
bb_4_japan,0,65000
bb_4_generic,0,64000
bb_4_generic_alt,0,44000
bb_modernized_sideguns_var,0,34900
bb_4_russia,0,45000
bb_2_usa_newyork_wide,0,49500
bb_4_usa_modernized,0,46500
bb_2_usa_newyork_base,0,32500
bb_3_britain_modernized,0,42000
bb_5_austrian_pocket,0,39000
bb_5_generic_small,0,32000
bb_4_russia_small,0,35000
bb_5_cesare,0,29000
bb_4_german,0,61000
bb_4_france,0,60000
bb_4,0,62000
bb_3_german,0,57000
bb_4_italy,0,56000
bb_3_britain,0,51000
bb_3_japan,0,46000
bb_3_britain_elizabeth,0,45000
bb_2_britain,0,39500
bb_3,0,44000
bb_3_usa_var,0,49500
bb_2_usa,0,47000
bb_2_britain_france,0,39500
bb_2_japan,0,37000
bb_2_russia,0,37000
bb_2_russia_gangut,0,36000
bb_2_Italy,0,35000
bb_2,0,36000
bb_1_russia_alt,0,30500
bb_2_britain_alt3,0,35500
bb_2_britain_alt4,0,31500
bb_2_britain_alt2,0,32500
bb_3_france,0,36000
bb_2_german,0,34000
bb_2_britain_alt,0,29500
bb_1_italy,0,30000
bb_2_france,0,28000
bb_2_usa_newyork_var,0,44500
bb_2_usa_arizona_var,0,42500
bb_2_usa_newyork_base_var,0,39500
bb_2_usa_arizona,0,35500
bb_2_usa_newyork_var2,0,33500
bb_2_usa_texas_base,0,28500
bb_2_usa_newyork_var3,0,24500
bb_1_german_helgoland,0,27500
bb_1_italy_medium,0,25000
bb_1_large,0,27500
bb_1_russia,0,29000
bb_1_russia_gangut,0,26000
bb_1_french_large,0,29500
bb_1,0,26000
bb_1_usa,0,25500
bb_1_italy_small,0,21500
bb_1_french,0,27000
bb_1_japan,0,25000
bb_1_austria_larger,0,27000
bb_1_austria,0,25000
bb_1_german,0,22000
bb_1_german_nassau,0,22500
bb_1_china_semi,0,17700
bb_1_spain,0,16700
bb_1_german_early,0,19500
bb_1_austrian_early,0,18500
bb_1_russia_mission,0,29000
bb_1_german_mission,0,29000
bb_1_italy_fast,0,19750
bb_1_italy_semi,0,16750
b1_maine_semidread2,0,15500
b1_maine_semidread,0,13500
bb_test,0,25000
b3_britain,0,18500
b2_danton_var,0,24500
b2_danton,0,22500
b_3_russia,0,19500
b1_bouvet_semidreadnought,0,21500
b_2_borodino_largedeck,0,19000
b_2_borodino,0,17500
b_1_usa_var_exp3,0,17500
b_2_usa,0,18000
b_2_usa_semi,0,15500
b_2_usa_semi2,0,14500
casemate_test1,0,17000
b_2_china_exp,0,16500
b_2,0,16500
b1_tsesarevich_russia,0,16600
b_1_russia,0,17000
b_1_largegeneric,0,17000
b2_friedrich,0,17000
b_2_italy,0,15500
b2_germany,0,14500
b2_germanyexport,0,11900
b1_germanyexport,0,10750
b_1,0,15000
b_1_usa,0,16000
b1_russiaold,0,17000
b_2_austria,0,13900
b_1_austria,0,11500
b1_tsesarevich_france,0,16000
b1_germany,0,11750
b1_bouvet2,0,16500
b1_bouvet,0,16000
b1_brennus,0,11500
b1_massena_var1,0,11800
b1_massena_var3,0,10900
b1_massena_var2,0,10600
b1_germany_mission2,0,12700
b1_germany_mission,0,11750
b1_3mast_spain,0,10000
b_1_usa_var_exp2,0,13500
b_1_usa_var_exp1,0,12500
b_1_usa_var,0,10700
b_1_italian_3mast,0,10500
b_1_italian_Large_3mast,0,14200
b1_inflex_2,0,13900
b1_inflex,0,12900
bb_exp_iron3,0,12550
bb_exp_iron2,0,12250
bb_exp_iron1,0,11200
b1_maine,0,8500
b1_maine_varsides,0,8200
b1_maine_varsmall,0,7500
bc_7_britain,0,82500
bc_5_assault_russia,0,87500
bb_usa_north_carolina,0,62500
bc_6_generic,0,75000
bc_6_stalin,0,51000
bc_6_germany,0,55500
bc_5_germany,0,49000
bc_6_japan,0,54000
bc_5_japan,0,51000
bc_5_kongo,0,57500
bc_5_usa,0,50000
bc_5_russia2,0,47000
bc_6_italy,0,54500
bc_5_russia,0,47000
bc_4_britain_g3,0,55500
bc_6_britain,0,53000
bc_5_britain,0,50000
