name,type,occurrence,vanillaWeight,weight
nelson_barbette_tiny,barbette,0,2.5,1.875
littorio_barbette_small,barbette,0,3.5,2.625
nelson_barbette_small,barbette,0,5.5,4.125
atlanta_barbette_small,barbette,0,7,5.25
atlanta_barbette_tall,barbette,0,8.2,6.15
atlanta_barbette_dual,barbette,0,45,33.75
atlanta_barbette_dual_big,barbette,0,59,44.25
brooklyn_barbette_small,barbette,0,7.6,5.7
ussr_barbette_b,barbette,0,8.6,6.45
dido_barbette_aux,barbette,0,9.25,6.9375
akizuki_barbette_small,barbette,0,9.6,7.2
de_Ruyter_barbette_a,barbette,0,10,7.5
si_barbette_average,barbette,0,12,9
dido_barbette_aux_tall,barbette,0,13,9.75
dido_barbette_aux_wide,barbette,0,15,11.25
akizuki_barbette_average,barbette,0,24,18
si_barbette_average2,barbette,0,38.4,28.8
akizuki_barbette_big,barbette,0,39.36,29.52
si_barbette_small2,barbette,0,40.8,30.6
si_barbette_small,barbette,0,45.6,34.2
si_barbette_average_spanish,barbette,0,69.6,52.2
si_barbette_average_a,barbette,0,72,54
si_barbette_average_b,barbette,0,84,63
atlanta_barbette_dual_medium,barbette,0,90,67.5
atlanta_barbette_dual_medium_large,barbette,0,109,81.75
si_barbette_medium_ca,barbette,0,88.8,66.6
si_barbette_medium_ca_2,barbette,0,105.6,79.2
si_barbette_medium3,barbette,0,93.6,70.2
si_barbette_big,barbette,0,103.2,77.4
si_barbette_medium,barbette,0,110.4,82.8
si_barbette_nelson_1,barbette,0,175.8,131.85
si_barbette_medium2,barbette,0,117.6,88.2
si_barbette_tall_x1,barbette,0,120,90
si_barbette_big2,barbette,0,124.8,93.6
si_barbette_big_b,barbette,0,144,108
si_barbette_nelson_2,barbette,0,220,165
si_barbette_big_d,barbette,0,158.4,118.8
si_barbette_tall_x2,barbette,0,165,123.75
si_barbette_big_c,barbette,0,175.2,131.4
si_barbette_big_e,barbette,0,201.6,151.2
si_barbette_big_e_large,barbette,0,240,180
si_barbette_huge,barbette,0,252,189
si_barbette_huge_2,barbette,0,276,207
si_barbette_giga,barbette,0,319.2,239.4
si_barbette_big_e_xlarge,barbette,0,350.4,262.8
si_barbette_huge,barbette,1,192,144
si_barbette_vhuge,barbette,0,312,234
modern_BB_funnel_3,funnel,0,880,660
modern_BB_funnel_2,funnel,0,800,600
mogami_funnel_2_xxlarge2,funnel,0,1100,825
modern_BB_funnel_superwide_3,funnel,0,1060,795
modern_BB_funnel_superwide_2,funnel,0,945,708.75
modern_BB_funnel_superwide_1,funnel,0,880,660
mogami_funnel_2_xxlarge,funnel,0,736,552
modern_BB_funnel_1,funnel,0,672,504
mogami_funnel_1_xxlarge,funnel,0,665.6,499.2
mogami_funnel_2_xlarge,funnel,0,608,456
mogami_funnel_1_xlarge,funnel,0,544,408
modern_BB_funnel_7_bismarck,funnel,0,928,696
modern_BB_funnel_6_bismarck,funnel,0,851.2,638.4
modern_BB_funnel_5_bismarck,funnel,0,780.8,585.6
modern_BB_funnel_4_bismarck,funnel,0,704,528
modern_BB_funnel_4_bismarck_caversion,funnel,0,704,528
modern_BB_funnel_3_bismarck,funnel,0,620.8,465.6
atlanta_cl_funnel_complex_2,funnel,0,705,528.75
atlanta_cl_funnel_complex_1,funnel,0,650,487.5
modern_BB_funnel_3_bismarck_caversion,funnel,0,620.8,465.6
modern_BB_funnel_5_spee,funnel,0,864,648
modern_BB_funnel_4_spee,funnel,0,790.4,592.8
modern_BB_funnel_3_spee,funnel,0,720,540
modern_BB_funnel_2_spee,funnel,0,611.2,458.4
modern_BB_funnel_1_spee_large,funnel,0,560,420
modern_BB_funnel_1_spee,funnel,0,521.6,391.2
modern_BB_funnel_1_spee_small,funnel,0,495.36,371.52
modern_BB_funnel_2_bismarck_bigvar,funnel,0,576,432
modern_BB_funnel_2_bismarck,funnel,0,544,408
modern_BB_funnel_2_bismarck_caversion,funnel,0,544,408
modern_BB_funnel_1_bismarck,funnel,0,505.6,379.2
modern_BB_funnel_1_bismarck_caversion,funnel,0,505.6,379.2
modern_BB_funnel_1_bismarck_caversion_small,funnel,0,460.8,345.6
modern_BB_funnel_1_bismarck_caversion_small_narrow5,funnel,0,600,450
modern_BB_funnel_1_bismarck_caversion_small_narrow4,funnel,0,550,412.5
modern_BB_funnel_1_bismarck_caversion_small_narrow3,funnel,0,500,375
modern_BB_funnel_1_bismarck_caversion_small_narrow2,funnel,0,450,337.5
modern_BB_funnel_1_bismarck_caversion_small_narrow1,funnel,0,400,300
modern_BB_funnel_11_littorio,funnel,0,937.6,703.2
modern_BB_funnel_10_littorio,funnel,0,873.6,655.2
modern_BB_funnel_9_littorio,funnel,0,809.6,607.2
modern_BB_funnel_8_littorio,funnel,0,745.6,559.2
modern_BB_funnel_7_littorio,funnel,0,630.4,472.8
modern_BB_funnel_7_littorio_caversion,funnel,0,630.4,472.8
modern_BB_funnel_7_littorio_small2,funnel,0,579.2,434.4
modern_BB_funnel_7_littorio_small,funnel,0,547.2,410.4
modern_BB_funnel_6_littorio,funnel,0,608,456
modern_BB_funnel_5_littorio,funnel,0,576,432
modern_BB_funnel_4_littorio,funnel,0,544,408
modern_BB_funnel_4_littorio_caversion_big,funnel,0,569.6,427.2
modern_BB_funnel_4_littorio_caversion,funnel,0,544,408
modern_BB_funnel_4_littorio_caversion_small,funnel,0,512,384
modern_BB_funnel_4_littorio_small,funnel,0,480,360
modern_BB_funnel_3_littorio,funnel,0,515.2,386.4
modern_BB_funnel_2_littorio,funnel,0,489.6,367.2
